iter	RMSE
188	1385.802343
189	1385.802211
190	1385.802044
191	1385.801886
192	1385.801736
193	1385.801593
194	1385.801458
195	1385.801361
196	1385.801237
197	1385.801119
198	1385.801118
199	1385.801007
200	1385.801005
201	1385.800899
202	1385.800824
203	1385.800727
204	1385.800635
205	1385.800571
206	1385.800487
207	1385.800486
208	1385.800428
209	1385.800427
210	1385.80035
211	1385.800348
212	1385.800275
213	1385.800206
214	1385.80014
215	1385.800077
216	1385.800076
217	1385.800034
218	1385.799993
219	1385.799992
220	1385.799937
221	1385.799936
222	1385.799883
223	1385.799834
224	1385.799786
225	1385.799741
226	1385.799712
227	1385.79967
228	1385.799644
229	1385.799606
230	1385.79957
231	1385.799569
232	1385.799535
233	1385.799503
234	1385.799472
235	1385.799443
236	1385.799415
237	1385.799397
238	1385.799372
239	1385.799371
240	1385.79937
241	1385.799346
242	1385.799324
243	1385.799323
244	1385.799308
245	1385.799287
246	1385.799267
247	1385.799249
248	1385.799248
249	1385.799247
250	1385.799229
251	1385.799212
252	1385.799196
253	1385.799181
254	1385.799171
255	1385.799157
256	1385.799144
257	1385.799135
258	1385.799123
259	1385.799116
260	1385.799104
261	1385.799104
262	1385.799093
263	1385.799093
264	1385.799086
265	1385.799076
266	1385.799076
267	1385.799075
268	1385.799066
269	1385.799057
270	1385.799052
271	1385.799052
272	1385.799047
273	1385.799042
274	1385.799034
275	1385.799027
276	1385.79902
277	1385.799016
278	1385.799016
279	1385.799009
280	1385.799009
281	1385.799003
282	1385.799
283	1385.798996
284	1385.798993
285	1385.798988
286	1385.798988
287	1385.798987
288	1385.798987
289	1385.798982
290	1385.79898
291	1385.798975
292	1385.798971
293	1385.798967
294	1385.798963
295	1385.798959
296	1385.798959
297	1385.798959
298	1385.798957
299	1385.798956
300	1385.798953
301	1385.798953
302	1385.798951
303	1385.798948
304	1385.798948
305	1385.798945
306	1385.798944
307	1385.798942
308	1385.798942
309	1385.798939
310	1385.798937
311	1385.798935
312	1385.798934
313	1385.798934
314	1385.798931
315	1385.798929
316	1385.798927
317	1385.798927
318	1385.798926
319	1385.798924
320	1385.798922
321	1385.798921
322	1385.79892
323	1385.798919
324	1385.798918
325	1385.798916
326	1385.798916
327	1385.798915
328	1385.798913
329	1385.798912
330	1385.798911
331	1385.79891
332	1385.79891
333	1385.798909
334	1385.798908
335	1385.798907
336	1385.798907
337	1385.798906
338	1385.798905
339	1385.798904
340	1385.798904
341	1385.798903
342	1385.798903
343	1385.798902
344	1385.798902
345	1385.798902
346	1385.798901
347	1385.798901
348	1385.798901
349	1385.7989
350	1385.7989
351	1385.798899
352	1385.798899
353	1385.798898
354	1385.798898
355	1385.798897
356	1385.798897
357	1385.798897
358	1385.798896
359	1385.798896
360	1385.798896
361	1385.798895
362	1385.798895
363	1385.798895
364	1385.798895
365	1385.798895
366	1385.798894
367	1385.798894
368	1385.798894
369	1385.798894
370	1385.798894
371	1385.798894
372	1385.798894
373	1385.798893
374	1385.798893
375	1385.798893
376	1385.798893
377	1385.798893
378	1385.798893
379	1385.798893
380	1385.798892
381	1385.798892
382	1385.798892
383	1385.798892
384	1385.798892
385	1385.798892
386	1385.798892
387	1385.798891
388	1385.798891
389	1385.798891
390	1385.798891
391	1385.798891
392	1385.798891
393	1385.798891
394	1385.798891
395	1385.798891
396	1385.798891
397	1385.798891
398	1385.798891
399	1385.798891
400	1385.79889
401	1385.79889
402	1385.79889
403	1385.79889
404	1385.79889
405	1385.79889
406	1385.79889
407	1385.79889
408	1385.79889
409	1385.79889
410	1385.79889
411	1385.79889
412	1385.79889
413	1385.79889
414	1385.79889
415	1385.79889
416	1385.79889
417	1385.79889
418	1385.79889
419	1385.79889
420	1385.79889
421	1385.79889
422	1385.79889
423	1385.79889
424	1385.79889
425	1385.798889
426	1385.798889
427	1385.798889
428	1385.798889
429	1385.798889
430	1385.798889
431	1385.798889
432	1385.798889
433	1385.798889
434	1385.798889
435	1385.798889
436	1385.798889
437	1385.798889
438	1385.798889
439	1385.798889
440	1385.798889
441	1385.798889
442	1385.798889
443	1385.798889
444	1385.798889
445	1385.798889
446	1385.798889
447	1385.798889
448	1385.798889
449	1385.798889
450	1385.798889
451	1385.798889
452	1385.798889
453	1385.798889
454	1385.798889
455	1385.798889
456	1385.798889
457	1385.798889
458	1385.798889
459	1385.798889
460	1385.798889
461	1385.798889
462	1385.798889
463	1385.798889
464	1385.798889
465	1385.798889
466	1385.798889
467	1385.798889
468	1385.798889
469	1385.798889
470	1385.798889
471	1385.798889
472	1385.798889
473	1385.798889
474	1385.798889
475	1385.798889
476	1385.798889
477	1385.798889
478	1385.798889
479	1385.798889
480	1385.798889
481	1385.798889
482	1385.798889
483	1385.798889
484	1385.798889
485	1385.798889
486	1385.798889
487	1385.798889
488	1385.798889
489	1385.798889
490	1385.798889
491	1385.798889
492	1385.798889
493	1385.798889
494	1385.798889
495	1385.798889
496	1385.798889
497	1385.798889
498	1385.798889
499	1385.798889
500	1385.798889
501	1385.798889
502	1385.798889
503	1385.798889
504	1385.798889
505	1385.798889
506	1385.798889
507	1385.798889
508	1385.798889
509	1385.798889
510	1385.798889
511	1385.798889
512	1385.798889
513	1385.798889
514	1385.798889
515	1385.798889
516	1385.798889
517	1385.798889
518	1385.798889
519	1385.798889
520	1385.798889
521	1385.798889
522	1385.798889
523	1385.798889
524	1385.798889
525	1385.798889
526	1385.798889
527	1385.798889
528	1385.798889
529	1385.798889
530	1385.798889
531	1385.798889
532	1385.798889
533	1385.798889
534	1385.798889
535	1385.798889
536	1385.798889
537	1385.798889
538	1385.798889
539	1385.798889
540	1385.798889
541	1385.798889
542	1385.798889
543	1385.798889
544	1385.798889
545	1385.798889
546	1385.798889
547	1385.798889
548	1385.798889
549	1385.798889
550	1385.798889
551	1385.798889
552	1385.798889
553	1385.798889
554	1385.798889
555	1385.798889
556	1385.798889
557	1385.798889
558	1385.798889
559	1385.798889
560	1385.798889
561	1385.798889
562	1385.798889
563	1385.798889
564	1385.798889
565	1385.798889
566	1385.798889
567	1385.798889
568	1385.798889
569	1385.798889
570	1385.798889
571	1385.798889
572	1385.798889
573	1385.798889
574	1385.798889
575	1385.798889
576	1385.798889
577	1385.798889
578	1385.798889
579	1385.798889
580	1385.798889
581	1385.798889
582	1385.798889
583	1385.798889
584	1385.798889
585	1385.798889
586	1385.798889
587	1385.798889
588	1385.798889
589	1385.798889
590	1385.798889
591	1385.798889
592	1385.798889
593	1385.798889
594	1385.798889
595	1385.798889
596	1385.798889
597	1385.798889
598	1385.798889
599	1385.798889
600	1385.798889
601	1385.798889
602	1385.798889
603	1385.798889
604	1385.798889
605	1385.798889
606	1385.798889
607	1385.798889
608	1385.798889
609	1385.798889
610	1385.798889
611	1385.798889
612	1385.798889
613	1385.798889
614	1385.798889
615	1385.798889
616	1385.798889
617	1385.798889
618	1385.798889
619	1385.798889
620	1385.798889
621	1385.798889
622	1385.798889
623	1385.798889
624	1385.798889
625	1385.798889
626	1385.798889
627	1385.798889
628	1385.798889
629	1385.798889
630	1385.798889
631	1385.798889
632	1385.798889
633	1385.798889
634	1385.798889
635	1385.798889
636	1385.798889
637	1385.798889
638	1385.798889
639	1385.798889
640	1385.798889
641	1385.798889
642	1385.798889
643	1385.798889
644	1385.798889
645	1385.798889
646	1385.798889
647	1385.798889
648	1385.798889
649	1385.798889
650	1385.798889
651	1385.798889
652	1385.798889
653	1385.798889
654	1385.798889
655	1385.798889
656	1385.798889
657	1385.798889
658	1385.798889
659	1385.798889
660	1385.798889
661	1385.798889
662	1385.798889
663	1385.798889
664	1385.798889
665	1385.798889
666	1385.798889
667	1385.798889
668	1385.798889
669	1385.798889
670	1385.798889
671	1385.798889
672	1385.798889
673	1385.798889
674	1385.798889
675	1385.798889
676	1385.798889
677	1385.798889
678	1385.798889
679	1385.798889
680	1385.798889
681	1385.798889
682	1385.798889
683	1385.798889
684	1385.798889
685	1385.798889
686	1385.798889
687	1385.798889
688	1385.798889
689	1385.798889
690	1385.798889
691	1385.798889
692	1385.798889
693	1385.798889
694	1385.798889
695	1385.798889
696	1385.798889
697	1385.798889
698	1385.798889
699	1385.798889
700	1385.798889
701	1385.798889
702	1385.798889
703	1385.798889
704	1385.798889
705	1385.798889
706	1385.798889
707	1385.798889
708	1385.798889
709	1385.798889
710	1385.798889
711	1385.798889
712	1385.798889
713	1385.798889
714	1385.798889
715	1385.798889
716	1385.798889
717	1385.798889
718	1385.798889
719	1385.798889
720	1385.798889
721	1385.798889
722	1385.798889
723	1385.798889
724	1385.798889
725	1385.798889
726	1385.798889
727	1385.798889
728	1385.798889
729	1385.798889
730	1385.798889
731	1385.798889
732	1385.798889
733	1385.798889
734	1385.798889
735	1385.798889
736	1385.798889
737	1385.798889
738	1385.798889
739	1385.798889
740	1385.798889
741	1385.798889
742	1385.798889
743	1385.798889
744	1385.798889
745	1385.798889
746	1385.798889
747	1385.798889
748	1385.798889
749	1385.798889
750	1385.798889
751	1385.798889
752	1385.798889
753	1385.798889
754	1385.798889
755	1385.798889
756	1385.798889
757	1385.798889
758	1385.798889
759	1385.798889
760	1385.798889
761	1385.798889
762	1385.798889
763	1385.798889
764	1385.798889
765	1385.798889
766	1385.798889
767	1385.798889
768	1385.798889
769	1385.798889
770	1385.798889
771	1385.798889
772	1385.798889
773	1385.798889
774	1385.798889
775	1385.798889
776	1385.798889
777	1385.798889
778	1385.798889
779	1385.798889
780	1385.798889
781	1385.798889
782	1385.798889
783	1385.798889
784	1385.798889
785	1385.798889
786	1385.798889
787	1385.798889
788	1385.798889
789	1385.798889
790	1385.798889
791	1385.798889
792	1385.798889
793	1385.798889
794	1385.798889
795	1385.798889
796	1385.798889
797	1385.798889
798	1385.798889
799	1385.798889
800	1385.798889
801	1385.798889
802	1385.798889
803	1385.798889
804	1385.798889
805	1385.798889
806	1385.798889
807	1385.798889
808	1385.798889
809	1385.798889
810	1385.798889
811	1385.798889
812	1385.798889
813	1385.798889
814	1385.798889
815	1385.798889
816	1385.798889
817	1385.798889
818	1385.798889
819	1385.798889
820	1385.798889
821	1385.798889
822	1385.798889
823	1385.798889
824	1385.798889
825	1385.798889
826	1385.798889
827	1385.798889
828	1385.798889
829	1385.798889
830	1385.798889
831	1385.798889
832	1385.798889
833	1385.798889
834	1385.798889
835	1385.798889
836	1385.798889
837	1385.798889
838	1385.798889
839	1385.798889
840	1385.798889
841	1385.798889
842	1385.798889
843	1385.798889
844	1385.798889
845	1385.798889
846	1385.798889
847	1385.798889
848	1385.798889
849	1385.798889
850	1385.798889
851	1385.798889
852	1385.798889
853	1385.798889
854	1385.798889
855	1385.798889
856	1385.798889
857	1385.798889
858	1385.798889
859	1385.798889
860	1385.798889
861	1385.798889
862	1385.798889
863	1385.798889
864	1385.798889
865	1385.798889
866	1385.798889
867	1385.798889
868	1385.798889
869	1385.798889
870	1385.798889
871	1385.798889
872	1385.798889
873	1385.798889
874	1385.798889
875	1385.798889
876	1385.798889
877	1385.798889
878	1385.798889
879	1385.798889
880	1385.798889
881	1385.798889
882	1385.798889
883	1385.798889
884	1385.798889
885	1385.798889
886	1385.798889
887	1385.798889
888	1385.798889
889	1385.798889
890	1385.798889
891	1385.798889
892	1385.798889
893	1385.798889
894	1385.798889
895	1385.798889
896	1385.798889
897	1385.798889
898	1385.798889
899	1385.798889
900	1385.798889
901	1385.798889
902	1385.798889
903	1385.798889
904	1385.798889
905	1385.798889
906	1385.798889
907	1385.798889
908	1385.798889
909	1385.798889
910	1385.798889
911	1385.798889
912	1385.798889
913	1385.798889
914	1385.798889
915	1385.798889
916	1385.798889
917	1385.798889
918	1385.798889
919	1385.798889
920	1385.798889
921	1385.798889
922	1385.798889
923	1385.798889
924	1385.798889
925	1385.798889
926	1385.798889
927	1385.798889
928	1385.798889
929	1385.798889
930	1385.798889
931	1385.798889
932	1385.798889
933	1385.798889
934	1385.798889
935	1385.798889
936	1385.798889
937	1385.798889
938	1385.798889
939	1385.798889
940	1385.798889
941	1385.798889
942	1385.798889
943	1385.798889
944	1385.798889
945	1385.798889
946	1385.798889
947	1385.798889
948	1385.798889
949	1385.798889
950	1385.798889
951	1385.798889
952	1385.798889
953	1385.798889
954	1385.798889
955	1385.798889
956	1385.798889
957	1385.798889
958	1385.798889
959	1385.798889
960	1385.798889
961	1385.798889
962	1385.798889
963	1385.798889
964	1385.798889
965	1385.798889
966	1385.798889
967	1385.798889
968	1385.798889
969	1385.798889
970	1385.798889
971	1385.798889
972	1385.798889
973	1385.798889
974	1385.798889
975	1385.798889
976	1385.798889
977	1385.798889
978	1385.798889
979	1385.798889
980	1385.798889
981	1385.798889
982	1385.798889
983	1385.798889
984	1385.798889
985	1385.798889
986	1385.798889
987	1385.798889
988	1385.798889
989	1385.798889
990	1385.798889
991	1385.798889
992	1385.798889
993	1385.798889
994	1385.798889
995	1385.798889
996	1385.798889
997	1385.798889
998	1385.798889
999	1385.798889
